service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,1,0,0,20260605,20260904
2,1,1,1,1,0,0,0,20260603,20260907
3,1,1,1,1,1,1,1,20260603,20260702
4,1,1,1,1,1,0,0,20260603,20270604
5,0,0,0,0,0,1,0,20260606,20270529
6,0,0,0,0,1,0,0,20260605,20270604
7,1,1,1,1,0,0,0,20260603,20270603
8,0,0,0,0,0,0,1,20260906,20270530
9,0,0,0,0,1,0,0,20260904,20270604
10,0,0,0,0,0,0,0,20261026,20270503
11,1,1,1,1,1,0,0,20260901,20270604
12,0,0,0,0,1,0,0,20260904,20270604
13,1,1,1,1,1,0,0,20260901,20270604
14,0,0,0,0,0,1,1,20260606,20270530
15,0,0,0,0,0,0,1,20260607,20270530
16,1,1,1,1,1,1,0,20260603,20270604
