shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3826_1,52.6755415611479,-6.29506177853724,1,0.0
3826_1,52.6756018,-6.294835,2,16.74
3826_1,52.6757082,-6.2944159,3,47.462
3826_1,52.6758241,-6.293961,4,80.826
3826_1,52.6759234,-6.293586,5,108.494
3826_1,52.6761711,-6.2925924,6,181.135
3826_1,52.6762327,-6.2923538,7,198.669
3826_1,52.676326,-6.2920096,8,224.161
3826_1,52.6764285,-6.2915875,9,254.907
3826_1,52.6765466,-6.2910623,10,292.784
3826_1,52.6767036,-6.2909156,11,312.877
3826_1,52.6767557,-6.2908552,12,319.969
3826_1,52.6769393,-6.2906429,13,344.942
3826_1,52.6772132,-6.2902292,14,386.319
3826_1,52.6772954,-6.2901134,15,398.361
3826_1,52.6773438,-6.2900413,16,405.627
3826_1,52.6774313,-6.2898843,17,420.035
3826_1,52.6776155,-6.2895537,18,450.369
3826_1,52.6776846,-6.2894296,19,461.753
3826_1,52.6782010857133,-6.28846277509364,20,548.815
3826_1,52.6786408870348,-6.28779483222292,21,615.421
3826_1,52.678958114078,-6.28735351939661,22,661.65
3826_1,52.6794357678589,-6.28681718202772,23,726.003
3826_1,52.6796894624322,-6.28633397071142,24,769.19
3826_1,52.6798398,-6.2858525,25,805.8
3826_1,52.6798614444924,-6.28579479289288,26,810.387
3826_1,52.6801065786335,-6.28534148660136,27,851.425
