trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
3826_1,07:00:00,07:00:00,8340B355121,1,Maynooth University,0,1,1
3826_1,07:15:00,07:15:00,835000083,2,,0,0,1
3826_1,07:30:00,07:30:00,8350B1355501,3,,0,0,1
3826_1,07:35:00,07:35:00,8350B1060901,4,,0,0,1
3826_1,08:05:00,08:05:00,8350DB004533,5,,0,0,1
3826_1,08:40:00,08:40:00,8260DB003964,6,,1,0,1
3826_1,08:50:00,08:50:00,826000001,7,,1,0,1
3826_2,07:00:00,07:00:00,8340B355121,1,Maynooth University,0,1,1
3826_2,07:15:00,07:15:00,835000083,2,,0,0,1
3826_2,07:30:00,07:30:00,8350B1355501,3,,0,0,1
3826_2,07:35:00,07:35:00,8350B1060901,4,,0,0,1
3826_2,08:05:00,08:05:00,8350DB004533,5,,0,0,1
3826_2,08:40:00,08:40:00,8260DB003964,6,,1,0,1
3826_2,08:50:00,08:50:00,826000001,7,,1,0,1
3826_3,17:15:00,17:15:00,826000001,1,"Main Street, Gorey",0,1,1
3826_3,17:25:00,17:25:00,8260DB003986,2,,0,1,1
3826_3,18:10:00,18:10:00,8350DB006000,3,,0,0,1
3826_3,18:25:00,18:25:00,8350B1024101,4,,0,0,1
3826_3,18:30:00,18:30:00,8350B102441,5,,0,0,1
3826_3,18:40:00,18:40:00,835000082,6,,0,0,1
3826_3,18:55:00,18:55:00,8340B3555301,7,,0,0,1
3826_4,18:15:00,18:15:00,826000001,1,"Main Street, Gorey",0,1,1
3826_4,18:25:00,18:25:00,8260DB003986,2,,0,1,1
3826_4,19:10:00,19:10:00,8350DB006000,3,,0,0,1
3826_4,19:25:00,19:25:00,8350B1024101,4,,0,0,1
3826_4,19:30:00,19:30:00,8350B102441,5,,0,0,1
3826_4,19:40:00,19:40:00,835000082,6,,0,0,1
3826_4,19:55:00,19:55:00,8340B3555301,7,,0,0,1
3863_1,07:30:00,07:30:00,8320B1028201,1,Arcadia SC,0,1,1
3863_1,07:50:00,07:50:00,8320B1318201,2,,0,1,1
3863_1,08:00:00,08:00:00,8330B150631,3,,0,1,1
3863_1,08:05:00,08:05:00,8330B152172,4,,0,1,1
3863_1,08:15:00,08:15:00,8330B1554401,5,,0,1,1
3863_1,08:25:00,08:25:00,8330B1523201,6,,0,1,1
3863_1,08:35:00,08:35:00,8330B150671,7,,0,0,1
3863_1,08:45:00,08:45:00,8330B455851,8,,1,0,1
3863_2,17:15:00,17:15:00,8330B455611,1,Edenderry Town Hall,0,1,1
3863_2,17:25:00,17:25:00,8330B155432,2,,0,0,1
3863_2,17:35:00,17:35:00,8330B1523202,3,,1,0,1
3863_2,17:45:00,17:45:00,8330B150651,4,,1,0,1
3863_2,17:55:00,17:55:00,8330B150641,5,,1,0,1
3863_2,18:05:00,18:05:00,8330B1522101,6,,1,0,1
3863_2,18:15:00,18:15:00,8320B1048901,7,,0,0,1
3863_2,18:30:00,18:30:00,8320B1046701,8,,1,0,1
4390_1,07:15:00,07:15:00,8520B557241,1,Cavan Hospital,0,1,1
4390_1,07:16:00,07:16:00,852000011,2,,0,0,1
4390_1,07:22:00,07:22:00,852000013,3,,0,0,1
4390_1,07:28:00,07:28:00,852000014,4,,0,0,1
4390_1,07:31:00,07:31:00,852000015,5,,0,0,1
4390_1,07:35:00,07:35:00,852000078,6,,0,0,1
4390_1,07:37:00,07:37:00,852000017,7,,0,0,1
4390_1,07:40:00,07:40:00,852000019,8,,0,0,1
4390_1,07:43:00,07:43:00,852000021,9,,0,0,1
4390_1,07:52:00,07:52:00,852000025,10,,0,0,1
4390_1,07:54:00,07:54:00,852000026,11,,0,0,1
4390_1,07:55:00,07:55:00,8520B141571,12,,0,0,1
4390_1,07:58:00,07:58:00,852000028,13,,0,0,1
4390_1,07:59:00,07:59:00,852000031,14,,0,0,1
4390_1,08:02:00,08:02:00,852000033,15,,0,0,1
4390_1,08:06:00,08:06:00,8520B141581,16,,0,0,1
4390_1,08:12:00,08:12:00,852000059,17,,0,0,1
4390_1,08:14:00,08:14:00,8520LL10007,18,,0,0,1
4390_1,08:15:00,08:15:00,8520B141471,19,,0,0,1
4390_1,08:21:00,08:21:00,8520LL10635,20,,0,0,1
